person,year,month,age_years,age_decimal,category,event_short,description_en,source
Mozart,1756,1,0,0.0,birth,Born in Salzburg,Johannes Chrysostomus Wolfgangus Theophilus Mozart born January 27 1756 in Getreidegasse 9 Salzburg. Seventh child of Leopold Mozart and Anna Maria Pertl; only he and sister Nannerl survive infancy,Wikipedia
Mozart,1759,1,3,3.0,personal,Musical aptitude at age 3,At three years old mimics his sister Nannnerls keyboard lessons immediately grasping chords tonality and tempo. Father Leopold begins tutoring him,Biography.com
Mozart,1761,1,5,5.0,career,First compositions,Composes his first pieces — Minuet and Trio K.1 and K.2 — at age five. Leopold carefully notates them beginning a catalog that will reach over 800 works,Britannica
Mozart,1762,1,6,6.0,career,Performs before imperial courts,Performs before the court in Munich and Vienna. Famously climbs onto Empress Maria Theresas lap at Schonbrunn Palace. His career as a prodigy officially begins,Britannica
Mozart,1763,6,7,7.42,travel,Grand Tour of Europe begins,Leopold sets off with the family on a three-year grand tour — Munich Augsburg Paris London Amsterdam. Wolfgang performs and composes at every stop,Wikipedia
Mozart,1764,4,8,8.25,education,Meets Johann Christian Bach in London,During the London stay Mozart meets Johann Christian Bach — a formative influence on his melodic style and approach to keyboard concertos,Chamber Music Society
Mozart,1765,1,9,9.0,career,First symphonies composed,Composes his first symphonies during the European tour along with 16 sonatas for keyboard and violin — showcasing astonishing command of large musical forms,Chamber Music Society
Mozart,1767,1,11,11.0,career,First opera: Apollo et Hyacinthus,Composes his first opera Apollo et Hyacinthus K.38 at age eleven for a university performance in Salzburg,Classic FM
Mozart,1768,1,12,12.0,career,La finta semplice commissioned,Emperor Joseph II commissions La finta semplice — Viennese opera intrigue delays its premiere a year giving the twelve-year-old his first lesson in court politics,Classic FM
Mozart,1769,12,13,13.92,travel,First trip to Italy,Leopold takes Wolfgang to Italy — the musical capital of Europe. The tour is a triumph of performances and commissions,Wikipedia
Mozart,1770,4,14,14.25,misc,Transcribes Allegris Miserere from memory,Hears the Vaticans jealously guarded Miserere by Allegri once in the Sistine Chapel then writes out the entire score from memory — causing a sensation across Europe,Classic FM
Mozart,1770,7,14,14.5,achievement,Knight of the Golden Spur by Pope,Pope Clement XIV awards Mozart the Order of the Golden Spur in Rome — an honor previously given to Gluck,Opera Philadelphia
Mozart,1770,10,14,14.75,achievement,Member of Bolognese Accademia Filarmonica,The Accademia Filarmonica of Bologna accepts Mozart despite a rule requiring candidates to be at least twenty. He passes their composition exam in under an hour,Opera Philadelphia
Mozart,1772,1,16,16.0,career,Appointed Konzertmeister in Salzburg,Appointed Konzertmeister — leader of the court orchestra — by the Archbishop of Salzburg. Paid but constrained; the beginning of a restless decade,World History Org
Mozart,1773,1,17,17.0,career,Five violin concertos composed,Composes all five violin concertos during his Salzburg years along with the Sinfonia Concertante and various masses,Wikipedia
Mozart,1777,8,21,21.58,travel,Leaves Salzburg seeking freedom,Given leave by the Archbishop sets off with his mother to Mannheim Paris and Munich seeking employment and creative freedom,Wikipedia
Mozart,1778,1,22,22.0,personal,Falls for Aloysia Weber,In Mannheim becomes deeply infatuated with sixteen-year-old soprano Aloysia Weber. Leopold writes alarmed letters urging his son to stay focused on his career,Wikipedia
Mozart,1778,7,22,22.5,personal,Mother dies in Paris,Anna Maria Mozart falls ill and dies in Paris on July 3 1778. Mozart is alone in a foreign city grieving and unable to find work,Biography.com
Mozart,1779,1,23,23.0,career,Returns to Salzburg as court organist,Returns to Salzburg depressed and unsuccessful but his father secures him a position as court organist — composing masses symphonies and piano sonatas,Chamber Music Society
Mozart,1781,3,25,25.17,travel,Moves permanently to Vienna,Breaks with Archbishop Colloredo — reportedly kicked out by the court steward — and stays in Vienna as a freelance musician. A bold reckless gamble,Wikipedia
Mozart,1781,7,25,25.5,personal,Falls for Constanze Weber,Now lodging with the Weber family — Aloysia having married elsewhere — falls in love with younger sister Constanze. Leopold disapproves,Wikipedia
Mozart,1782,1,26,26.0,achievement,Idomeneo premieres,His first mature opera Idomeneo K.366 premieres to great success in Munich — a breakthrough in operatic form and dramatic expression,Chamber Music Society
Mozart,1782,8,26,26.58,personal,Marries Constanze Weber,Marries Constanze Weber on August 4 against his fathers wishes. Of their six children only Karl Thomas and Franz Xaver Wolfgang survive infancy,Wikipedia
Mozart,1783,1,27,27.0,career,Mass in C minor composed,Composes the Mass in C minor K.427 — not for commission but as a personal vow connected to his marriage. One of his most ambitious sacred works,Caltech Mozart Project
Mozart,1784,8,28,28.58,misc,Joins the Freemasons,Initiated into the Freemason lodge Zur Wohlthatigkeit in Vienna — an influential intellectual circle. Masonic ideals will shape his later work especially The Magic Flute,Wikipedia
Mozart,1785,1,29,29.0,achievement,Six Haydn quartets published,Publishes six string quartets dedicated to Joseph Haydn who tells Leopold: Your son is the greatest composer I know. A landmark in chamber music,Opera Philadelphia
Mozart,1786,5,30,30.33,achievement,The Marriage of Figaro premieres,Le nozze di Figaro K.492 premieres in Vienna on May 1. Subversive comic and emotionally truthful — one of the most performed operas in history,Wikipedia
Mozart,1787,5,31,31.33,personal,Father Leopold dies,Leopold Mozart dies May 28 in Salzburg. The complicated devoted controlling relationship that defined Wolfgangs entire life comes to an end,Wikipedia
Mozart,1787,10,31,31.75,achievement,Don Giovanni premieres in Prague,Don Giovanni K.527 premieres in Prague to extraordinary acclaim on October 29. Mozart reportedly says: For my Praguers!,Wikipedia
