person,year,month,age_years,age_decimal,category,event_short,description_en,source
Marie Curie,1867,11,0,0.0,birth,Born in Warsaw,Maria Salomea Sklodowska born in Warsaw Congress Poland (Russian Empire) youngest of five children of teachers Wladyslaw and Bronislawa Sklodowski,Wikipedia
Marie Curie,1874,1,6,6.17,personal,Sister Zofia dies of typhus,Oldest sibling Zofia contracts typhus from a house boarder and dies — first major loss in Maria's childhood,Wikipedia
Marie Curie,1878,5,10,10.5,personal,Mother dies of tuberculosis,Mother Bronislawa dies of tuberculosis when Maria is ten — a defining trauma that influences her lifelong rejection of formal religion,Wikipedia
Marie Curie,1883,6,15,15.58,education,Gold medal at Russian lycee,Completes secondary education at the Russian lycee in Warsaw with a gold medal — top of her class despite Russian cultural suppression of Polish students,Britannica
Marie Curie,1885,1,17,17.17,personal,Works as governess,Unable to attend university in Russia Maria takes a post as governess to fund her sister Bronyas medical studies in Paris — part of a sisterly pact,Nobel Prize Org
Marie Curie,1886,1,18,18.17,personal,Unhappy love affair ends,Falls in love with the son of the family she works for; the relationship is forbidden by his family due to her social class ending in heartbreak,Britannica
Marie Curie,1890,1,22,22.17,education,Studies at the Flying University,Participates clandestinely in the nationalist Flying University in Warsaw — an underground institution offering education to women in defiance of Russian rule,Wikipedia
Marie Curie,1891,11,24,24.0,travel,Moves to Paris,Leaves Warsaw for Paris at age 24 following her sister Bronislawa to study at the Sorbonne. Begins using the French name Marie,Wikipedia
Marie Curie,1893,6,25,25.58,education,First degree in physics,Graduates first in her class in physical sciences from the Sorbonne — remarkable for any student exceptional for a woman,Nobel Prize Org
Marie Curie,1894,1,26,26.08,career,First research commission,Commissioned by the Society for the Encouragement of National Industry to investigate the magnetic properties of various steels — her first professional scientific engagement,Wikipedia
Marie Curie,1894,4,26,26.42,personal,Meets Pierre Curie,Introduced to Pierre Curie by Polish physicist Jozef Wierusz-Kowalski who thought Pierre could help her find laboratory space. Their mutual passion for science draws them together,Wikipedia
Marie Curie,1894,6,26,26.58,education,Second degree in mathematics,Completes a second degree in mathematics placing second among all candidates. Begins work in Gabriel Lippmanns research laboratory,Lemelson MIT
Marie Curie,1895,7,27,27.67,personal,Marries Pierre Curie,Marries Pierre Curie on July 26 1895. They honeymoon by bicycle through the French countryside. The marriage begins one of historys most celebrated scientific partnerships,Wikipedia
Marie Curie,1896,3,28,28.33,career,Adopts Becquerels uranium research,Henri Becquerels discovery of uranium rays becomes her doctoral thesis topic. She begins studying other elements for similar emissions — soon coining the word radioactivity,Nuclear Museum
Marie Curie,1897,9,29,29.83,personal,Daughter Irene born,First daughter Irene born September 12. Despite new motherhood Marie barely slows her research pace,Wikipedia
Marie Curie,1898,4,30,30.42,achievement,Discovers thorium emits radiation,Discovers that thorium also emits radiation and that radiation intensity depends on quantity of element not molecular arrangement — her most important theoretical insight,Nuclear Museum
Marie Curie,1898,7,30,30.67,achievement,Discovers polonium,Announces discovery of a new radioactive element named polonium after her homeland Poland — a political act as much as a scientific one,Wikipedia
Marie Curie,1898,12,31,31.08,achievement,Discovers radium,Announces discovery of radium named after the radioactivity phenomenon she herself coined,Wikipedia
Marie Curie,1900,9,32,32.83,career,Lecturer at Ecole Normale Superieure,Appointed lecturer in physics at the Ecole Normale Superieure for girls in Sevres — introduces experimental demonstrations as a teaching method,Britannica
Marie Curie,1902,3,34,34.33,career,Isolates pure radium,After four years of back-breaking labor processing tons of pitchblende ore succeeds in isolating one decigram of pure radium chloride,Nuclear Museum
Marie Curie,1903,6,35,35.58,education,PhD in physics from Sorbonne,Defends doctoral thesis Recherches sur les substances radioactives — becomes the first woman in France to earn a physics doctorate,Wikipedia
Marie Curie,1903,12,36,36.08,achievement,Nobel Prize in Physics,Shares the 1903 Nobel Prize in Physics with Pierre Curie and Henri Becquerel for their joint research on radioactivity. First woman to win a Nobel Prize,Nobel Prize Org
Marie Curie,1904,12,37,37.08,personal,Daughter Eve born,Second daughter Eve Denise born December 6. Eve will grow up to become a journalist and biographer writing a celebrated biography of her mother,Wikipedia
Marie Curie,1906,4,38,38.42,personal,Pierre Curie dies in accident,Pierre is struck by a horse-drawn wagon on a Paris street on April 19 and killed instantly. Her partner in life and science is gone,Wikipedia
Marie Curie,1906,5,38,38.5,career,First female professor at Sorbonne,Accepts Pierres chair at the Sorbonne — becomes the first woman in France to hold a professorial position in the universitys history,Nuclear Museum
Marie Curie,1909,1,41,41.17,career,Radium Institute initiative begins,Pierre Paul Emile Roux of the Pasteur Institute proposes creating a Radium Institute after the University of Paris fails to provide Curie with an adequate laboratory,Wikipedia
Marie Curie,1910,11,43,43.0,achievement,Isolates pure radium metal,Successfully isolates pure metallic radium — previously only obtained as a salt compound — the work anchoring her second Nobel Prize,Wikipedia
Marie Curie,1911,1,43,43.17,misc,Affair with Langevin becomes public,A romantic relationship with physicist Paul Langevin becomes tabloid fodder. Nationalists attack her as a foreign-born home-wrecker. A vicious public campaign follows,Wikipedia
Marie Curie,1911,12,44,44.08,achievement,Nobel Prize in Chemistry,Awarded the 1911 Nobel Prize in Chemistry for the isolation of pure radium. Nobel Committee suggested she not attend due to scandal — she goes anyway. Only person to win Nobel Prizes in two different sciences,Nobel Prize Org
Marie Curie,1912,1,44,44.17,personal,Health collapse and depression,Suffers severe depression and physical collapse. Recovers quietly in England under a pseudonym with friend Hertha Ayrton,Wikipedia
Marie Curie,1914,7,46,46.67,career,WWI mobile X-ray units,Designs mobile radiography units — petites Curies — and drives them to field hospitals herself treating an estimated one million wounded soldiers,Nuclear Museum
Marie Curie,1918,11,51,51.0,career,Director of Radium Institute,Appointed director of the scientific department of the newly opened Radium Institute in Paris. Daughter Irene joins the lab,Exploros
Marie Curie,1920,3,52,52.33,career,Founds Curie Institute Paris,Founds the Curie Institute in Paris — one of the worlds premier cancer research centers still operating today,Wikipedia
Marie Curie,1921,5,53,53.5,travel,First US tour,Tours the United States to raise funds for radium research. President Harding presents her with 1 gram of radium worth $100000,Library of Congress
Marie Curie,1922,8,54,54.75,misc,Joins League of Nations committee,Joins the League of Nations International Committee on Intellectual Cooperation — collaborates with Einstein Lorentz and Bergson on international scientific coordination,Wikipedia
Marie Curie,1923,1,55,55.17,career,Publishes biography of Pierre Curie,Writes and publishes a biography of her late husband — a tribute to their shared work and life,Wikipedia
Marie Curie,1925,3,57,57.33,travel,Warsaw Radium Institute foundation ceremony,Returns to Poland for the foundation-laying ceremony of the Warsaw Radium Institute — a lifelong dream to bring science to her homeland,Wikipedia
